ID,Title,Interpret,Album,track,year,genre
292,Mal Bicho,Los Fabulosos Cadillacs,Los Fabulosos Cadillacs: Originales - 20 Exitos,6,1990,Alternative und Latin-Rock
293,Cancion del Mariachi (Morena de Mi Corazon),Los Lobos,Desperado (The Soundtrack),1,1995,Pop
294,Bar Fight,Los Lobos,Desperado (The Soundtrack),7,1995,Pop
295,Bucho's Gracias / Navajas Attacks,Los Lobos,Desperado (The Soundtrack),9,1995,Pop
296,Bulletproof,Los Lobos,Desperado (The Soundtrack),10,1995,Pop
297,Rooftop Action,Los Lobos,Desperado (The Soundtrack),13,1995,Pop
298,Phone Call,Los Lobos,Desperado (The Soundtrack),14,1995,Pop
299,Let Love Reign,Los Lobos,Desperado (The Soundtrack),17,1995,Pop
﻿300,Mariachi Suite,Los Lobos,Desperado (The Soundtrack),18,1995,Pop
301,Summertime Killer (Ricatto Alla Malla),Luis Bacalov,Kill Bill, Vol. 2 (Original Soundtrack),6,2004,Soundtracks
302,About Her,Malcolm McLaren,Kill Bill, Vol. 2 (Original Soundtrack),12,2004,Soundtracks
303,Beautiful Soul by Mamadee (Summerjam Live),Mamadee & The Evolution,Diversity Live (Special Version),20,2011,Reggae
